店铺id,评分,评论数量,人均消费,归属商圈,菜系类型,county,距离描述
130768041,3.0,3,48,后海/南锣鼓巷地区,咖啡店,西城区,距市中心3.7km
22516745,3.0,3,132,西单/金融街地区,韩国料理,西城区,距市中心3km
90680662,3.0,3,54,三里屯/工体/东直门地区,小吃,东城区,距市中心4.4km
15651846,3.0,3,228,,北京菜,怀柔区,距市中心49.2km
22514987,3.0,3,51,,,丰台区,距市中心6.2km
20613113,3.0,3,79,,北京菜,丰台区,距市中心6.5km
136368053,3.0,3,0,西直门/北京展览馆地区,本帮菜,海淀区,距市中心6.7km
7024627,3.0,3,34,公主坟/五棵松/石景山游乐园地区,快餐简餐,海淀区,距市中心8.8km
4955691,3.0,3,22,,快餐简餐,丰台区,距市中心9km
15479085,3.0,3,131,怀柔风景区,北京菜,怀柔区,
5559426,3.0,3,43,,快餐简餐,平谷区,
4992158,3.0,3,60,延庆休闲度假区,自助餐,延庆区,
12495070,3.0,3,64,密云城区,湘菜,密云区,
296030,3.0,2,14,,快餐简餐,海淀区,距市中心10.9km
15494614,3.0,2,96,亚运村/奥体中心地区,湘菜,朝阳区,距市中心11.4km
120815831,3.0,2,49,中关村/五道口,川菜,海淀区,距市中心11.4km
131569085,3.0,2,37,天安门/王府井地区,快餐简餐,东城区,距市中心1.1km
15942236,3.0,2,25,天安门/王府井地区,快餐简餐,东城区,距市中心1.1km
18521631,3.0,2,132,天安门/王府井地区,日本料理,东城区,距市中心1.1km
4939278,3.0,2,14,,,海淀区,距市中心11km
4953388,3.0,2,36,,咖啡店,海淀区,距市中心12.3km
4937194,3.0,2,330,西直门/北京展览馆地区,粤菜,海淀区,距市中心12km
8529396,3.0,2,96,,北京菜,大兴区,距市中心13.6km
16093082,3.0,2,105,,韩国料理,朝阳区,距市中心13.8km
8585407,3.0,2,34,前门/天坛公园/崇文门,小吃,东城区,距市中心1.3km
4971222,3.0,2,43,前门/天坛公园/崇文门,东北菜,西城区,距市中心1.3km
15956768,3.0,2,121,大兴北京新机场地区,北京菜,大兴区,距市中心13km
129615368,3.0,2,23,中关村/五道口,快餐简餐,海淀区,距市中心14.3km
16564565,3.0,2,240,亦庄地区,自助餐,大兴区,距市中心14.9km
131277193,3.0,2,297,亦庄地区,粤菜,大兴区,距市中心15.3km
21136522,3.0,2,108,上地产业园/西三旗,西餐,海淀区,距市中心16.3km
16100907,3.0,2,85,大兴北京新机场地区,湘菜,大兴区,距市中心16.8km
245775,3.0,2,15,,快餐简餐,石景山区,距市中心17.5km
22510983,3.0,2,84,,烧烤,通州区,距市中心19.8km
18572248,3.0,2,269,大兴北京新机场地区,海鲜,大兴区,距市中心19km
17601349,3.0,2,31,回龙观/天通苑地区,快餐简餐,昌平区,距市中心20.1km
